Time,Temperature,Precipitation,Wind Speed (km/h),Humidity,Details,Day
19:00,18°,"7%
chance of precipitation",,66%,A clear sky and a gentle breeze,1
20:00,18°,"7%
chance of precipitation",,68%,A clear sky and light winds,1
21:00,17°,"5%
chance of precipitation",,71%,A clear sky and light winds,1
22:00,17°,"0%
chance of precipitation",,74%,A clear sky and light winds,1
23:00,16°,"6%
chance of precipitation",,75%,A clear sky and light winds,1
00:00,15°,"0%
chance of precipitation",,80%,Partly cloudy and light winds,1
01:00,15°,"0%
chance of precipitation",,84%,Partly cloudy and light winds,1
02:00,15°,"0%
chance of precipitation",,89%,Partly cloudy and light winds,1
03:00,14°,"0%
chance of precipitation",,90%,Partly cloudy and light winds,1
04:00,14°,"0%
chance of precipitation",,88%,Partly cloudy and light winds,1
05:00,14°,"0%
chance of precipitation",,88%,A clear sky and light winds,1
06:00,14°,"0%
chance of precipitation",,86%,A clear sky and light winds,1
07:00,14°,"0%
chance of precipitation",,85%,Sunny and light winds,1
08:00,15°,"0%
chance of precipitation",,81%,Sunny and light winds,1
09:00,16°,"0%
chance of precipitation",,76%,Sunny and a gentle breeze,1
10:00,18°,"0%
chance of precipitation",,71%,Sunny intervals and a gentle breeze,1
11:00,19°,"15%
chance of precipitation",,67%,Sunny intervals and a gentle breeze,1
12:00,19°,"38%
chance of precipitation",,66%,Light rain and a gentle breeze,1
13:00,19°,"43%
chance of precipitation",,67%,Light rain and a gentle breeze,1
14:00,19°,"44%
chance of precipitation",,68%,Drizzle and a gentle breeze,1
15:00,19°,"48%
chance of precipitation",,68%,Light rain and a gentle breeze,1
16:00,19°,"48%
chance of precipitation",,69%,Light rain showers and a gentle breeze,1
17:00,19°,"33%
chance of precipitation",,70%,Partly cloudy and a gentle breeze,1
18:00,18°,"35%
chance of precipitation",,73%,Partly cloudy and light winds,1
19:00,18°,"26%
chance of precipitation",,75%,Partly cloudy and light winds,1
20:00,18°,"0%
chance of precipitation",,78%,A clear sky and light winds,1
21:00,17°,"0%
chance of precipitation",,81%,A clear sky and light winds,1
22:00,16°,"0%
chance of precipitation",,82%,A clear sky and light winds,1
23:00,15°,"0%
chance of precipitation",,84%,A clear sky and light winds,1
00:00,15°,"0%
chance of precipitation",,84%,A clear sky and light winds,1
01:00,15°,"0%
chance of precipitation",,83%,A clear sky and a gentle breeze,1
02:00,15°,"0%
chance of precipitation",,82%,A clear sky and a gentle breeze,1
03:00,15°,"0%
chance of precipitation",,83%,A clear sky and a gentle breeze,1
04:00,15°,"0%
chance of precipitation",,83%,A clear sky and a gentle breeze,1
05:00,14°,"0%
chance of precipitation",,83%,Partly cloudy and a gentle breeze,1
06:00,14°,"0%
chance of precipitation",,82%,A clear sky and a gentle breeze,2
07:00,14°,"0%
chance of precipitation",,80%,Sunny and a gentle breeze,2
08:00,15°,"0%
chance of precipitation",,77%,Sunny and a gentle breeze,2
09:00,16°,"0%
chance of precipitation",,72%,Sunny intervals and a gentle breeze,2
10:00,17°,"0%
chance of precipitation",,67%,Sunny intervals and a gentle breeze,2
11:00,19°,"8%
chance of precipitation",,63%,Sunny intervals and a gentle breeze,2
12:00,19°,"33%
chance of precipitation",,64%,Light rain showers and a gentle breeze,2
13:00,19°,"30%
chance of precipitation",,64%,Sunny intervals and a gentle breeze,2
14:00,19°,"31%
chance of precipitation",,66%,Drizzle and a gentle breeze,2
15:00,19°,"19%
chance of precipitation",,68%,Sunny intervals and a gentle breeze,2
16:00,19°,"19%
chance of precipitation",,70%,Sunny intervals and a gentle breeze,2
17:00,18°,"21%
chance of precipitation",,72%,Partly cloudy and light winds,2
18:00,18°,"17%
chance of precipitation",,76%,Partly cloudy and light winds,2
19:00,17°,"16%
chance of precipitation",,78%,Partly cloudy and light winds,2
20:00,17°,"21%
chance of precipitation",,81%,Partly cloudy and light winds,2
21:00,16°,"17%
chance of precipitation",,83%,Partly cloudy and light winds,2
22:00,16°,"13%
chance of precipitation",,84%,Partly cloudy and light winds,2
23:00,15°,"6%
chance of precipitation",,85%,Partly cloudy and light winds,2
00:00,15°,"0%
chance of precipitation",,85%,A clear sky and light winds,2
01:00,14°,"0%
chance of precipitation",,86%,A clear sky and light winds,2
02:00,14°,"0%
chance of precipitation",,85%,A clear sky and light winds,2
03:00,14°,"0%
chance of precipitation",,86%,A clear sky and light winds,2
04:00,14°,"0%
chance of precipitation",,85%,A clear sky and light winds,2
05:00,13°,"0%
chance of precipitation",,86%,A clear sky and light winds,2
06:00,13°,"0%
chance of precipitation",,83%,A clear sky and light winds,3
07:00,13°,"0%
chance of precipitation",,79%,Sunny and light winds,3
08:00,14°,"0%
chance of precipitation",,75%,Sunny and light winds,3
09:00,16°,"0%
chance of precipitation",,70%,Sunny and a gentle breeze,3
10:00,17°,"0%
chance of precipitation",,65%,Sunny intervals and a gentle breeze,3
11:00,18°,"0%
chance of precipitation",,63%,Light cloud and a gentle breeze,3
12:00,19°,"60%
chance of precipitation",,63%,Light rain showers and a gentle breeze,3
13:00,19°,"59%
chance of precipitation",,64%,Light rain showers and a gentle breeze,3
14:00,19°,"56%
chance of precipitation",,65%,Light rain showers and a gentle breeze,3
15:00,18°,"43%
chance of precipitation",,66%,Light rain showers and a gentle breeze,3
16:00,18°,"42%
chance of precipitation",,67%,Light rain showers and a gentle breeze,3
17:00,18°,"41%
chance of precipitation",,68%,Light rain showers and a gentle breeze,3
18:00,17°,"45%
chance of precipitation",,73%,Light rain showers and a gentle breeze,3
19:00,16°,"48%
chance of precipitation",,77%,Thundery showers and a gentle breeze,3
20:00,16°,"50%
chance of precipitation",,81%,Thundery showers and light winds,3
21:00,15°,"67%
chance of precipitation",,84%,Light rain showers and light winds,3
22:00,15°,"55%
chance of precipitation",,87%,Light rain showers and light winds,3
23:00,15°,"56%
chance of precipitation",,89%,Light rain showers and light winds,3
00:00,14°,"67%
chance of precipitation",,90%,Light rain showers and light winds,3
01:00,14°,"66%
chance of precipitation",,90%,Light rain showers and light winds,3
02:00,14°,"64%
chance of precipitation",,90%,Light rain showers and a gentle breeze,3
03:00,14°,"42%
chance of precipitation",,92%,Light rain showers and a gentle breeze,3
04:00,14°,"32%
chance of precipitation",,90%,Drizzle and a gentle breeze,3
05:00,13°,"47%
chance of precipitation",,89%,Light rain showers and a gentle breeze,3
06:00,13°,"23%
chance of precipitation",,87%,Partly cloudy and a gentle breeze,4
07:00,13°,"21%
chance of precipitation",,85%,Sunny intervals and a gentle breeze,4
08:00,14°,"22%
chance of precipitation",,80%,Sunny intervals and a gentle breeze,4
09:00,15°,"17%
chance of precipitation",,73%,Sunny intervals and a gentle breeze,4
10:00,17°,"15%
chance of precipitation",,68%,Sunny intervals and a gentle breeze,4
11:00,18°,"16%
chance of precipitation",,65%,Sunny intervals and a gentle breeze,4
12:00,18°,"8%
chance of precipitation",,65%,Sunny intervals and a gentle breeze,4
13:00,18°,"8%
chance of precipitation",,65%,Sunny intervals and a gentle breeze,4
14:00,18°,"7%
chance of precipitation",,66%,Sunny intervals and a gentle breeze,4
15:00,18°,"4%
chance of precipitation",,68%,Sunny and a gentle breeze,4
16:00,18°,"0%
chance of precipitation",,69%,Sunny and light winds,4
17:00,17°,"0%
chance of precipitation",,72%,A clear sky and light winds,4
18:00,17°,"0%
chance of precipitation",,77%,A clear sky and light winds,4
19:00,16°,"0%
chance of precipitation",,81%,A clear sky and light winds,4
20:00,16°,"0%
chance of precipitation",,85%,A clear sky and light winds,4
21:00,15°,"0%
chance of precipitation",,88%,A clear sky and light winds,4
22:00,14°,"0%
chance of precipitation",,89%,A clear sky and light winds,4
23:00,13°,"0%
chance of precipitation",,91%,A clear sky and light winds,4
00:00,13°,"0%
chance of precipitation",,92%,A clear sky and light winds,4
01:00,12°,"0%
chance of precipitation",,91%,A clear sky and light winds,4
02:00,12°,"0%
chance of precipitation",,90%,A clear sky and light winds,4
03:00,11°,"0%
chance of precipitation",,91%,A clear sky and light winds,4
04:00,11°,"0%
chance of precipitation",,91%,A clear sky and light winds,4
05:00,11°,"0%
chance of precipitation",,91%,A clear sky and light winds,4
06:00,11°,"0%
chance of precipitation",,89%,A clear sky and light winds,5
07:00,11°,"0%
chance of precipitation",,86%,Sunny and light winds,5
08:00,12°,"0%
chance of precipitation",,81%,Sunny and light winds,5
09:00,14°,"0%
chance of precipitation",,69%,Sunny and light winds,5
10:00,16°,"0%
chance of precipitation",,59%,Sunny and light winds,5
11:00,18°,"0%
chance of precipitation",,51%,Sunny and light winds,5
12:00,19°,"0%
chance of precipitation",,50%,Sunny and light winds,5
13:00,19°,"0%
chance of precipitation",,50%,Sunny and light winds,5
14:00,19°,"0%
chance of precipitation",,49%,Sunny and light winds,5
15:00,19°,"0%
chance of precipitation",,53%,Sunny and light winds,5
16:00,19°,"0%
chance of precipitation",,56%,Sunny and light winds,5
17:00,18°,"0%
chance of precipitation",,60%,A clear sky and light winds,5
18:00,17°,"0%
chance of precipitation",,65%,A clear sky and light winds,5
19:00,16°,"0%
chance of precipitation",,71%,A clear sky and light winds,5
20:00,16°,"0%
chance of precipitation",,75%,A clear sky and light winds,5
21:00,15°,"0%
chance of precipitation",,74%,A clear sky and light winds,5
22:00,15°,"0%
chance of precipitation",,72%,A clear sky and light winds,5
23:00,14°,"0%
chance of precipitation",,70%,A clear sky and light winds,5
00:00,13°,"0%
chance of precipitation",,71%,A clear sky and light winds,5
01:00,13°,"0%
chance of precipitation",,71%,A clear sky and light winds,5
02:00,13°,"0%
chance of precipitation",,69%,A clear sky and light winds,5
03:00,13°,"0%
chance of precipitation",,71%,A clear sky and light winds,5
04:00,12°,"0%
chance of precipitation",,72%,A clear sky and light winds,5
05:00,12°,"0%
chance of precipitation",,73%,A clear sky and light winds,5
06:00,12°,"0%
chance of precipitation",,71%,A clear sky and light winds,6
07:00,12°,"0%
chance of precipitation",,68%,Sunny and a gentle breeze,6
08:00,13°,"0%
chance of precipitation",,65%,Sunny and a gentle breeze,6
09:00,15°,"0%
chance of precipitation",,57%,Sunny and a gentle breeze,6
10:00,17°,"0%
chance of precipitation",,51%,Sunny and a gentle breeze,6
11:00,18°,"0%
chance of precipitation",,48%,Sunny and a gentle breeze,6
12:00,18°,"3%
chance of precipitation",,48%,Sunny and a moderate breeze,6
13:00,18°,"3%
chance of precipitation",,50%,Sunny and a moderate breeze,6
14:00,18°,"3%
chance of precipitation",,53%,Sunny and a moderate breeze,6
15:00,18°,"0%
chance of precipitation",,53%,Sunny and a moderate breeze,6
16:00,17°,"0%
chance of precipitation",,54%,Sunny and a gentle breeze,6
17:00,17°,"0%
chance of precipitation",,55%,A clear sky and a gentle breeze,6
18:00,17°,"0%
chance of precipitation",,57%,A clear sky and a gentle breeze,6
19:00,16°,"0%
chance of precipitation",,59%,A clear sky and a gentle breeze,6
20:00,16°,"0%
chance of precipitation",,61%,A clear sky and a gentle breeze,6
21:00,15°,"8%
chance of precipitation",,64%,A clear sky and a gentle breeze,6
22:00,15°,"8%
chance of precipitation",,66%,A clear sky and a gentle breeze,6
23:00,14°,"13%
chance of precipitation",,68%,A clear sky and a gentle breeze,6
00:00,14°,"13%
chance of precipitation",,68%,A clear sky and a gentle breeze,6
01:00,14°,"14%
chance of precipitation",,69%,A clear sky and a gentle breeze,6
02:00,14°,"10%
chance of precipitation",,69%,A clear sky and a gentle breeze,6
03:00,13°,"8%
chance of precipitation",,70%,A clear sky and a gentle breeze,6
04:00,13°,"7%
chance of precipitation",,70%,A clear sky and a gentle breeze,6
05:00,12°,"7%
chance of precipitation",,70%,A clear sky and a gentle breeze,6
06:00,12°,"6%
chance of precipitation",,68%,A clear sky and a gentle breeze,7
07:00,12°,"5%
chance of precipitation",,67%,Sunny and a gentle breeze,7
08:00,13°,"5%
chance of precipitation",,65%,Sunny and a moderate breeze,7
09:00,14°,"0%
chance of precipitation",,59%,Sunny and a moderate breeze,7
10:00,15°,"0%
chance of precipitation",,54%,Sunny and a moderate breeze,7
11:00,17°,"0%
chance of precipitation",,51%,Sunny and a moderate breeze,7
12:00,17°,"0%
chance of precipitation",,51%,Sunny and a moderate breeze,7
13:00,17°,"0%
chance of precipitation",,52%,Sunny and a moderate breeze,7
14:00,17°,"0%
chance of precipitation",,54%,Sunny and a gentle breeze,7
15:00,17°,"0%
chance of precipitation",,55%,Sunny and a gentle breeze,7
16:00,16°,"0%
chance of precipitation",,57%,Sunny and a gentle breeze,7
17:00,16°,"0%
chance of precipitation",,59%,A clear sky and a gentle breeze,7
18:00,15°,"0%
chance of precipitation",,62%,A clear sky and light winds,7
19:00,15°,"0%
chance of precipitation",,66%,A clear sky and light winds,7
20:00,15°,"0%
chance of precipitation",,69%,A clear sky and light winds,7
21:00,14°,"0%
chance of precipitation",,71%,A clear sky and light winds,7
22:00,13°,"0%
chance of precipitation",,72%,A clear sky and light winds,7
23:00,13°,"0%
chance of precipitation",,75%,A clear sky and light winds,7
00:00,12°,"0%
chance of precipitation",,75%,A clear sky and a gentle breeze,7
01:00,12°,"0%
chance of precipitation",,76%,A clear sky and a gentle breeze,7
02:00,12°,"0%
chance of precipitation",,76%,A clear sky and a gentle breeze,7
03:00,11°,"0%
chance of precipitation",,78%,A clear sky and a gentle breeze,7
04:00,11°,"0%
chance of precipitation",,78%,A clear sky and a gentle breeze,7
05:00,11°,"0%
chance of precipitation",,79%,A clear sky and a gentle breeze,7
06:00,11°,"0%
chance of precipitation",,77%,A clear sky and a gentle breeze,8
07:00,11°,"0%
chance of precipitation",,74%,Sunny and a gentle breeze,8
08:00,12°,"0%
chance of precipitation",,72%,Sunny and a gentle breeze,8
09:00,14°,"0%
chance of precipitation",,62%,Sunny and a gentle breeze,8
10:00,15°,"0%
chance of precipitation",,57%,Sunny and a gentle breeze,8
11:00,17°,"0%
chance of precipitation",,50%,Sunny and a moderate breeze,8
12:00,17°,"0%
chance of precipitation",,54%,Sunny and a moderate breeze,8
13:00,17°,"0%
chance of precipitation",,55%,Sunny and a moderate breeze,8
14:00,17°,"0%
chance of precipitation",,58%,Sunny and a moderate breeze,8
15:00,17°,"7%
chance of precipitation",,58%,Sunny and a gentle breeze,8
16:00,17°,"7%
chance of precipitation",,60%,Sunny and a gentle breeze,8
17:00,17°,"8%
chance of precipitation",,62%,Partly cloudy and a gentle breeze,8
18:00,16°,"8%
chance of precipitation",,63%,Partly cloudy and a gentle breeze,8
19:00,15°,"7%
chance of precipitation",,66%,Partly cloudy and a gentle breeze,8
20:00,15°,"8%
chance of precipitation",,69%,Partly cloudy and light winds,8
21:00,15°,"10%
chance of precipitation",,72%,Partly cloudy and a gentle breeze,8
