Features,Core 1 Year,Launch 1 Year,Power 1 Year,Pro 1 Year,Core 3 Years,Launch 3 Years,Power 3 Years,Pro 3 Years,Core 1 month,Launch 1 month,Power 1 month,Pro 1 month
Websites Supported,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites
Disk Space,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD
Bandwidth,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
Email Accounts,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses
Dedicated IP Address,Available,Available,Available,,Available,Available,Available,,Available,Available,Available,
No-Downtime Website Migration,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
UltraStack Optimized Performance,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance
Free SSL,,,,,,,,,,,,
eCommerce Ready,,,,,,,,,,,,
Pro Level Support,,,,,,,,,,,,
Advanced Caching,,,,,,,,,,,,
BoldGrid Website Builder,,,,,,,,,,,,
Parked Domains,1,Unlimited,Unlimited,Unlimited,1,Unlimited,Unlimited,Unlimited,1,Unlimited,Unlimited,Unlimited
Sub Domains,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
MySQL & PostgreSQL Databases,40,Unlimited,Unlimited,Unlimited,40,Unlimited,Unlimited,Unlimited,40,Unlimited,Unlimited,Unlimited
Email Storage per Inbox,1 GB,5GB,10 GB,20 GB,1 GB,5GB,10 GB,20 GB,1 GB,5GB,10 GB,20 GB
Hosting Plus,,,,,,,,,,,,
Choice of Data Center,,,,,,,,,,,,
"Phone, Chat and Ticket Support",Chat and Ticket Only,Chat and Ticket Only,,,Chat and Ticket Only,Chat and Ticket Only,,,Chat and Ticket Only,Chat and Ticket Only,,
