"company_name","average_growth_rate"
"Artists Production Group (APG)","1428570.58482142857150000000"
"Homegrown Pictures","466665.666666666667"
"Focus Films","357141.96825396825411111111"
"Muse Productions","250000.33531746031746031746"
"Paramount Animation","104166.36032536620755248210"
"Dimension Films","51630.76535460801083895762"
"Nickelodeon Movies","46296.70507887162215376035"
"Paramount Pictures","14459.439390374211177724422008"
"United Artists","8392.551283440197677646907692"
"Universal Pictures","4966.672215238244829316491000"
"LeBrocquy Fraser Productions","390.3043478260869565"
"Miramax","125.03977913787042164548"
"Protozoa Pictures","118.05736263736263736571"
"Falcon International Productions","115.6666666666666667"
"Management 360","99.50111111111111111111"
"Artisan Entertainment","78.878765350877192978290000"
"Electric Entertainment","59.0000000000000000"
"Pandora Filmproduktion","58.77732833333333335000"
"Empire Pictures","56.6923076923076923"
"Outlaw Productions","53.1666666666666667"
"Solana Films","49.916666666666666666667500"
"Image Entertainment","49.0000000000000000"
"LivePlanet","42.38588603425559946212"
"Edge City","42.3333333333333333"
"Furst Films","39.0000000000000000"
"Paramount","39.0000000000000000"
"View Askew Productions","37.71395073180787466184"
"Aramid Entertainment Fund","35.33617283950617283951"
"Dog Eat Dog Films","24.0000000000000000"
"Thinkfilm","22.20376984126984126667"
"Destination Films","19.51859243697478991180"
"Home Box Office (HBO)","19.0000000000000000"
"Ontario Film Development Corporation","19.0000000000000000"
"CatchPlay","18.2857142857142857"
"Smart Entertainment","16.0000000000000000"
"Renaissance Pictures","15.9415584415584416"
"Oscilloscope Laboratories","15.25000000000000000000"
"Paramount Classics","14.0000000000000000"
"3 Arts Entertainment","13.61425037041610074889"
"UTV Motion Pictures","12.63636363636363635000"
"Bayerischer Rundfunk (BR)","12.5000000000000000"
"Blumhouse Productions","12.49382575757575757409"
"Principato-Young Entertainment","11.60000000000000000000"
"Saga Film","10.7300676824905280"
"Dino de Laurentiis Cinematografica","10.43259259259259260000"
"Next Entertainment","10.35694444444444443333"
"100 Bares","10.0000000000000000"
"Televisiu00f3n Federal (Telefe)","10.0000000000000000"
"ContentFilm","9.91875000000000000000"
"DC Comics","9.79284472837588946663"
"Iron Horse Entertainment (II)","9.76361904761904763334"
"Zanuck/Brown Productions","9.7142857142857143"
"Sound for Film","9.43750000000000000000"
"Scout Productions","9.0000000000000000"
"Platinum Dunes","8.78454933630372226956"
"5150 Action","8.61375661375661375662"
"Automatik Entertainment","8.35787878787878788545"
"Samuel Goldwyn Films","8.08583333333333333333"
"Affirm Films","8.07777777777777777778"
"Alphaville Productions","7.6956521739130435"
"Gaumont","7.69423076923076923077"
"Tu00e9lu00e9film Canada","7.61904761904761904762"
"Manifest Film Company","7.4000000000000000"
"Arcade Pictures","7.3333333333333333"
"Fuji Television Network","7.24741854636591479554"
"Walt Disney Studios Motion Pictures","7.18732356532356531873"
"Vertigo Films","7.10978260869565215000"
"Pearl Street Films","7.0000000000000000"
"Incentive Filmed Entertainment","7.0000000000000000"
"120dB Films","7.0000000000000000"
"DC Entertainment","6.82827112961595720016"
"KC Medien AG","6.6000000000000000"
"VideoFilmes","6.5757575757575758"
"Sony Pictures Home Entertainment","6.5000000000000000"
"M Productions","6.5000000000000000"
"Woodfall Film Productions","6.5000000000000000"
"Ombra Films","6.3913043478260870"
"Lawrence Bender Productions","6.19513157894736842105"
"Knightsbridge Entertainment","6.1428571428571429"
"Indian Paintbrush","5.82500000000000000000"
"Apparatus Productions","5.6666666666666667"
"Panay Films","5.5000000000000000"
"Section Eight","5.38362187890012213290"
"Lee Daniels Entertainment","5.2500000000000000"
"Bull's Eye Entertainment","5.1538461538461538"
"Odd Lot Entertainment","5.11742753623188406667"
