"genre_name","movie_title","revenue","release_date","rolling_avg_revenue"
"Action","Hell's Angels","8000000","1930-11-15","8000000.000000000000"
"Action","The Charge of the Light Brigade","2736000","1936-10-20","5368000.000000000000"
"Action","Tycoon","0","1947-12-27","3578666.666666666667"
"Action","Sands of Iwo Jima","7800000","1949-12-14","3512000.000000000000"
"Action","Annie Get Your Gun","8000000","1950-05-17","5266666.666666666667"
"Action","The Greatest Show on Earth","36000000","1952-01-10","17266666.666666666667"
"Action","七人の侍","271841","1954-04-26","14757280.333333333333"
"Action","Love Me Tender","9000000","1956-11-15","15090613.666666666667"
"Action","The Misfits","8200000","1961-01-01","5823947.000000000000"
"Action","The Longest Day","50100000","1962-09-25","22433333.333333333333"
"Action","Dr. No","59600000","1962-10-04","39300000.000000000000"
"Action","55 Days at Peking","10000000","1963-05-06","39900000.000000000000"
"Action","Hud","10000000","1963-05-29","26533333.333333333333"
"Action","From Russia with Love","78898765","1963-10-11","32966255.000000000000"
"Action","It's a Mad, Mad, Mad, Mad World","60000000","1963-11-07","49632921.666666666667"
"Action","Goldfinger","124881062","1964-09-17","87926609.000000000000"
"Action","The Train","6800000","1964-09-21","63893687.333333333333"
"Action","Thunderball","141195658","1965-12-16","90958906.666666666667"
"Action","Harper","12000000","1966-02-23","53331886.000000000000"
"Action","You Only Live Twice","111584787","1967-06-12","88260148.333333333333"
"Action","Point Blank","3200000","1967-08-30","42261595.666666666667"
"Action","Gli intoccabili","0","1969-04-01","38261595.666666666667"
"Action","Paint Your Wagon","31678778","1969-10-15","11626259.333333333333"
"Action","On Her Majesty's Secret Service","81974493","1969-12-12","37884423.666666666667"
"Action","Topaz","6000000","1969-12-18","39884423.666666666667"
"Action","Tora! Tora! Tora!","29548291","1970-01-26","39174261.333333333333"
"Action","The Ballad of Cable Hogue","5000000","1970-05-13","13516097.000000000000"
"Action","Cotton Comes to Harlem","0","1970-05-27","11516097.000000000000"
"Action","Waterloo","3052000","1970-10-26","2684000.000000000000"
"Action","Sweet Sweetback's Baadasssss Song","15200000","1971-04-23","6084000.000000000000"
"Action","Escape from the Planet of the Apes","12348905","1971-05-20","10200301.666666666667"
"Action","The French Connection","41158757","1971-10-09","22902554.000000000000"
"Action","Diamonds Are Forever","116019547","1971-12-13","56509069.666666666667"
"Action","Conquest of the Planet of the Apes","9700000","1972-06-29","55626101.333333333333"
"Action","Battle for the Planet of the Apes","8844595","1973-06-15","44854714.000000000000"
"Action","Live and Let Die","161777836","1973-07-05","60107477.000000000000"
"Action","The Man with the Golden Gun","97572000","1974-12-01","89398143.666666666667"
"Action","Death Race 2000","8000000","1975-04-27","89116612.000000000000"
"Action","Robin and Marian","0","1976-03-11","35190666.666666666667"
"Action","Logan's Run","25000000","1976-06-23","11000000.000000000000"
"Action","Star Wars","775398007","1977-05-25","266799335.66666667"
"Action","Sorcerer","12000000","1977-06-24","270799335.66666667"
"Action","The Spy Who Loved Me","185438673","1977-07-07","324278893.33333333"
"Action","March or Die","0","1977-09-08","65812891.000000000000"
"Action","Damnation Alley","8720000","1977-09-10","64719557.666666666667"
"Action","Capricorn One","0","1977-12-10","2906666.666666666667"
"Action","F.I.S.T.","11","1978-04-26","2906670.333333333333"
"Action","Force 10 from Navarone","7230000","1978-11-01","2410003.666666666667"
"Action","Caravans","0","1978-11-02","2410003.666666666667"
"Action","Alien Zone","0","1978-11-22","2410000.000000000000"
"Action","Superman","300218018","1978-12-13","100072672.666666666667"
"Action","Mad Max","100000000","1979-04-12","133406006.00000000"
"Action","Alien","104931801","1979-05-25","168383273.00000000"
"Action","Moonraker","210308099","1979-06-26","138413300.00000000"
"Action","Meteor","0","1979-10-19","105079966.666666666667"
"Action","Penitentiary","0","1979-12-01","70102699.666666666667"
"Action","1941","31755742","1979-12-13","10585247.333333333333"
"Action","The Black Hole","35841901","1979-12-18","22532547.666666666667"
"Action","Raise the Titanic","0","1980-01-01","22532547.666666666667"
"Action","The Empire Strikes Back","538400000","1980-05-17","191413967.00000000"
"Action","The Blues Brothers","115229890","1980-06-17","217876630.00000000"
"Action","Heaven's Gate","3484331","1980-11-19","219038073.66666667"
"Action","Superman II","190458706","1980-12-04","103057642.333333333333"
"Action","Nighthawks","19905359","1981-03-17","71282798.666666666667"
"Action","Lion of the Desert","0","1981-04-17","70121355.000000000000"
"Action","Escape from New York","50244700","1981-05-22","23383353.000000000000"
"Action","Raiders of the Lost Ark","389925971","1981-06-12","146723557.00000000"
"Action","For Your Eyes Only","195312802","1981-06-23","211827824.33333333"
"Action","Stripes","85300000","1981-06-25","223512924.33333333"
"Action","The Legend of the Lone Ranger","2945600","1981-08-20","94519467.333333333333"
"Action","Das Boot","85000000","1981-09-16","57748533.333333333333"
"Action","Mad Max 2","24600832","1981-12-24","37515477.333333333333"
"Action","The Man from Snowy River","20659423","1982-03-02","43420085.000000000000"
"Action","Conan the Barbarian","79114085","1982-04-02","41458113.333333333333"
"Action","Star Trek II: The Wrath of Khan","96800000","1982-06-03","65524502.666666666667"
"Action","Firefox","70687344","1982-06-13","82200476.333333333333"
"Action","Megaforce","0","1982-06-25","55829114.666666666667"
"Action","The Beastmaster","14056528","1982-08-20","28247957.333333333333"
"Action","Class of 1984","0","1982-08-20","4685509.333333333333"
"Action","First Blood","125212904","1982-10-22","46423144.000000000000"
"Action","Lone Wolf McQuade","12232628","1983-04-14","45815177.333333333333"
"Action","Return of the Jedi","572700000","1983-05-23","236715177.33333333"
"Action","Octopussy","187500000","1983-06-05","257477542.66666667"
"Action","Superman III","75850624","1983-06-17","278683541.33333333"
"Action","Krull","16519460","1983-07-29","93290028.000000000000"
"Action","Never Say Never Again","160000000","1983-10-07","84123361.333333333333"
"Action","Scarface","65884703","1983-12-08","80801387.666666666667"
"Action","The Ice Pirates","0","1984-03-16","75294901.000000000000"
"Action","The Toxic Avenger","0","1984-05-01","21961567.666666666667"
"Action","The Bounty","8613462","1984-05-04","2871154.000000000000"
"Action","Firestarter","17080167","1984-05-11","8564543.000000000000"
"Action","Indiana Jones and the Temple of Doom","333000000","1984-05-23","119564543.000000000000"
"Action","Star Trek III: The Search for Spock","87000000","1984-05-31","145693389.00000000"
"Action","Conan the Destroyer","100000000","1984-06-29","173333333.33333333"
"Action","Red Dawn","38376497","1984-08-10","75125499.000000000000"
"Action","Sheena","5778353","1984-08-17","48051616.666666666667"
"Action","The Terminator","78371200","1984-10-26","40842016.666666666667"
"Action","Beverly Hills Cop","316360478","1984-11-29","133503343.66666667"
"Action","Dune","30925690","1984-12-14","141885789.33333333"
"Action","The Last Dragon","25754284","1985-03-22","124346817.333333333333"
"Action","Red Sonja","6948633","1985-04-09","21209535.666666666667"
