"company_name","movie_title","revenue","revenue_quartile"
"1.85 Films","Rubber","98017",1
"10 West Studios","Do You Believe?","0",1
"100 Bares","El secreto de sus ojos","33965843",1
"100 Bares","Metegol","24000000",2
"1019 Entertainment","Captive","2801508",1
"101st Street Films","Chairman of the Board","0",1
"10th Hole Productions","The Kids Are All Right","34705850",1
"120 Films","Irréversible","792",1
"120dB Films","Eye of the Dolphin","71904",1
"120dB Films","Zambezia","0",2
"13 Ghosts Productions Canada Inc.","Thir13en Ghosts","0",1
"1492 Pictures","Harry Potter and the Philosopher's Stone","976475550",1
"1492 Pictures","Harry Potter and the Chamber of Secrets","876688482",1
"1492 Pictures","Harry Potter and the Prisoner of Azkaban","789804554",1
"1492 Pictures","Night at the Museum","574480841",1
"1492 Pictures","Night at the Museum: Battle of the Smithsonian","413106170",1
"1492 Pictures","Night at the Museum: Secret of the Tomb","349424282",2
"1492 Pictures","4: Rise of the Silver Surfer","289047763",2
"1492 Pictures","Percy Jackson & the Olympians: The Lightning Thief","226497209",2
"1492 Pictures","Percy Jackson: Sea of Monsters","174578751",2
"1492 Pictures","Jingle All the Way","129832389",3
"1492 Pictures","The Help","124272124",3
"1492 Pictures","Bicentennial Man","93700000",3
"1492 Pictures","Rent","31670620",3
"1492 Pictures","Monkeybone","5409517",4
"1492 Pictures","Stepmom","0",4
"1492 Pictures","I Love You, Beth Cooper","0",4
"1492 Pictures","Christmas with the Kranks","0",4
"16 Block Productions","16 Blocks","65664721",1
"1812 Productions","Small Apartments","0",1
"1818","Lone Wolf McQuade","12232628",1
"1821 Pictures","The Invention of Lying","31912793",1
"1821 Pictures","Machete Kills","15008161",2
"1821 Pictures","Jane Got a Gun","1397284",3
"19 Entertainment","From Justin to Kelly","4922166",1
"1984 Private Defense Contractors","The Grey","77278331",1
"1984 Private Defense Contractors","A Walk Among the Tombstones","53181600",1
"1984 Private Defense Contractors","Killing Them Softly","37930465",2
"1984 Private Defense Contractors","Broken City","19701164",3
"1984 Private Defense Contractors","Machine Gun Preacher","2527904",4
"2 Entertain","Becoming Jane","37311672",1
"2 Loop Films","May","150277",1
"2.4.7. Films","Persepolis","0",1
"2003 Productions","Un long dimanche de fiançailles","0",1
"20th Century Fox Home Entertainment","12 Rounds","17280326",1
"20th Century Fox Russia","The Purge","89328627",1
"21 Laps Entertainment","Night at the Museum","574480841",1
"21 Laps Entertainment","Night at the Museum: Battle of the Smithsonian","413106170",1
"21 Laps Entertainment","Night at the Museum: Secret of the Tomb","349424282",1
"21 Laps Entertainment","Real Steel","299268508",2
"21 Laps Entertainment","What Happens in Vegas","170000000",2
"21 Laps Entertainment","Date Night","152263880",2
"21 Laps Entertainment","Cheaper by the Dozen 2","129181830",3
"21 Laps Entertainment","Alexander and the Terrible, Horrible, No Good, Very Bad Day","100654149",3
"21 Laps Entertainment","The Watch","68267862",3
"21 Laps Entertainment","The Internship","44000000",4
"21 Laps Entertainment","This Is Where I Leave You","41296320",4
"21 Laps Entertainment","The Spectacular Now","6854611",4
"21st Century Film Production","Royal Kill","0",1
"22 & Indiana Pictures","American Sniper","542307423",1
"26 Films","The Wedding Date","47175038",1
"26 Films","My Life in Ruins","20455276",2
"2929 Productions","We Own the Night","54926886",1
"2929 Productions","Good Night, and Good Luck.","54600000",1
"2929 Productions","Godsend","30114487",1
"2929 Productions","The Road","27635305",2
"2929 Productions","The Jacket","21126225",2
"2929 Productions","Akeelah and the Bee","18948425",2
"2929 Productions","What Just Happened","6673422",3
"2929 Productions","Two Lovers","3148182",3
"2929 Productions","Deadfall","66351",3
"2929 Productions","Tim and Eric's Billion Dollar Movie","0",4
"2929 Productions","The Life Before Her Eyes","0",4
"2929 Productions","The World's Fastest Indian","0",4
"2DUXu00b2","World War Z","531865000",1
"2S Films","Something Borrowed","59901913",1
"3 Arts Entertainment","Edge of Tomorrow","370541256",1
"3 Arts Entertainment","The Day the Earth Stood Still","233093859",1
"3 Arts Entertainment","Unbroken","163442937",1
"3 Arts Entertainment","13 Hours: The Secret Soldiers of Benghazi","69411370",2
"3 Arts Entertainment","Guess Who","68915888",2
"3 Arts Entertainment","Beautiful Creatures","60052138",2
"3 Arts Entertainment","Burnt","36606743",3
"3 Arts Entertainment","The To Do List","3566225",3
"3 Arts Entertainment","Excessive Force","1200000",3
"3 Arts Entertainment","The Extra Man","453079",4
"3 Arts Entertainment","Head of State","0",4
"3 Arts Entertainment","Girl, Interrupted","0",4
"3 Dogs and a Pony","The World's Fastest Indian","0",1
"3 in the Box","Disaster Movie","14109284",1
"3 Miles Apart Productions Ltd.","Pushing Tin","0",1
"30 Something Productions","Echo Dr.","0",1
"31 Juin Films","Médecin de campagne","0",1
"33 Pictures","Zipper","0",1
"33andOut Productions","22 Jump Street","188441614",1
"34th Street Films","Peeples","0",1
"360 Pictures","Crossover","7000000",1
"369 Productions","Metegol","24000000",1
"3ality Digital Entertainment","U2 3D","22730842",1
"3D Entertainment","Dolphins and Whales: Tribes of the Ocean","7518876",1
"3DTK","3 Days to Kill","52597999",1
"3Foot7","The Hobbit: The Battle of the Five Armies","956019788",1
"3L Filmproduktion GmbH","Adam Resurrected","0",1
"3Mark Entertainment","The Other Side of Heaven","4720371",1
"3rd Partner Productions","Western Religion","0",1
"4 1/2 Film","The Sleepwalker","0",1
"4 Kids Entertainment","Pokémon 3: The Movie","68411275",1
"40 Acres & A Mule Filmworks","Inside Man","184376254",1
"40 Acres & A Mule Filmworks","Malcolm X","48169908",1
"40 Acres & A Mule Filmworks","Do the Right Thing","37295445",1
"40 Acres & A Mule Filmworks","The Best Man","34573780",1
"40 Acres & A Mule Filmworks","Love & Basketball","27728118",1
