"genre_name","movie_title","budget","running_total_budget"
"Action","Falcon Rising","0","59443406599"
"Action","疯狂的石头","0","59443406599"
"Action","Fighting Tommy Riley","0","59443406599"
"Action","Wu Ji","0","59443406599"
"Action","Gli intoccabili","0","59443406599"
"Action","醉拳二","0","59443406599"
"Action","十面埋伏","0","59443406599"
"Action","Warriors of Virtue","0","59443406599"
"Action","Rabbit-Proof Fence","0","59443406599"
"Action","Hav Plenty","0","59443406599"
"Action","The Dead Undead","0","59443406599"
"Action","The Helix... Loaded","0","59443406599"
"Action","The Pink Panther","0","59443406599"
"Action","Quigley Down Under","0","59443406599"
"Action","In Her Line of Fire","0","59443406599"
"Action","Mad Money","0","59443406599"
"Action","Tycoon","0","59443406599"
"Action","Stealing Harvard","0","59443406599"
"Action","Caravans","0","59443406599"
"Action","Perrier’s Bounty","0","59443406599"
"Action","Royal Kill","0","59443406599"
"Action","Grosse Pointe Blank","0","59443406599"
"Action","The Edge","0","59443406599"
"Action","Kung Pow: Enter the Fist","0","59443406599"
"Action","The Crocodile Hunter: Collision Course","0","59443406599"
"Action","I Got the Hook Up","0","59443406599"
"Action","Meteor","0","59443406599"
"Action","Sugar Hill","0","59443406599"
"Action","Dum Maaro Dum","0","59443406599"
"Action","Money Talks","0","59443406599"
"Action","See Spot Run","0","59443406599"
"Action","Penitentiary","0","59443406599"
"Action","Men of War","0","59443406599"
"Action","Rampage","0","59443406599"
"Action","Madison","0","59443406599"
"Action","Salvando al Soldado Perez","0","59443406599"
"Action","This Thing of Ours","0","59443406599"
"Action","Blackthorn","0","59443406599"
"Action","The Legend of God's Gun","0","59443406599"
"Action","One Man's Hero","0","59443406599"
"Action","少林足球","0","59443406599"
"Action","Kites","0","59443406599"
"Action","태극기 휘날리며","0","59443406599"
"Action","Deuces Wild","0","59443406599"
"Action","Catch a Fire","0","59443406599"
"Action","Alien Zone","0","59443406599"
"Action","Lucky Break","0","59443406599"
"Action","Letters to God","0","59443406599"
"Action","The Man in the Iron Mask","0","59443406599"
"Action","Texas Rangers","0","59443406599"
"Action","疯狂的赛车","0","59443406599"
"Action","कृष","0","59443406599"
"Action","Bloody Sunday","0","59443406599"
"Action","The Legend of Hell's Gate: An American Conspiracy","0","59443406599"
"Action","Bullets Over Broadway","0","59443406599"
"Action","Megiddo: The Omega Code 2","0","59443406599"
"Action","Dungeons & Dragons: Wrath of the Dragon God","0","59443406599"
"Action","Dead Man Down","0","59443406599"
"Action","Nicholas Nickleby","0","59443406599"
"Action","The Specials","0","59443406599"
"Action","My Super Ex-Girlfriend","0","59443406599"
"Action","The Toxic Avenger Part II","0","59443406599"
"Action","Nancy Drew","0","59443406599"
"Action","Megaforce","0","59443406599"
"Action","Malone","0","59443406599"
"Action","The Man","0","59443406599"
"Action","Wild Hogs","0","59443406599"
