"genre_name","most_recent_movie","release_date"
"Action","Suicide Squad","2016-08-02"
"Adventure","Kicks","2016-09-09"
"Animation","Sausage Party","2016-07-11"
"Comedy","Growing Up Smith","2017-02-03"
"Crime","Suicide Squad","2016-08-02"
"Documentary","To Be Frank, Sinatra at 100","2015-12-12"
"Drama","Growing Up Smith","2017-02-03"
"Family","Growing Up Smith","2017-02-03"
"Fantasy","Pete's Dragon","2016-08-10"
"Foreign","Burn","2012-11-01"
"History","인천상륙작전","2016-07-27"
"Horror","Antibirth","2016-09-02"
"Music","Alleluia! The Devil's Carnival","2016-03-29"
"Mystery","Nerve","2016-07-27"
"Romance","Two Lovers and a Bear","2016-10-02"
"Science Fiction","Suicide Squad","2016-08-02"
"Thriller","Jason Bourne","2016-07-27"
"TV Movie","Signed, Sealed, Delivered","2013-10-13"
"War","인천상륙작전","2016-07-27"
"Western","Jane Got a Gun","2016-01-01"
