"actor_name","movie_count","rank"
"Samuel L. Jackson","67","1"
"Robert De Niro","57","2"
"Bruce Willis","51","3"
"Matt Damon","48","4"
"Morgan Freeman","46","5"
"Steve Buscemi","43","6"
"Liam Neeson","41","7"
"Johnny Depp","40","8"
"Owen Wilson","40","8"
"John Goodman","39","9"
"Nicolas Cage","39","9"
"Alec Baldwin","39","9"
"Willem Dafoe","38","10"
"Jim Broadbent","38","10"
"Brad Pitt","38","10"
"Stanley Tucci","38","10"
"Paul Giamatti","37","11"
"Will Ferrell","37","11"
"Susan Sarandon","36","12"
"Richard Jenkins","36","12"
"Keith David","35","13"
"J.K. Simmons","35","13"
"Christopher Walken","35","13"
"Bill Murray","35","13"
"Bill Hader","34","14"
"Ben Kingsley","34","14"
"Anthony Hopkins","34","14"
"Paul Rudd","34","14"
"Justin Long","34","14"
"Michael Shannon","34","14"
"Jack Black","34","14"
"George Clooney","34","14"
"Robin Williams","34","14"
"David Koechner","34","14"
"Julia Roberts","33","15"
"Frank Welker","33","15"
"Ben Stiller","33","15"
"Laurence Fishburne","33","15"
"William H. Macy","33","15"
"Tom Cruise","33","15"
"Sigourney Weaver","33","15"
"Brian Cox","33","15"
"Sylvester Stallone","32","16"
"John C. Reilly","32","16"
"Arnold Schwarzenegger","32","16"
"Tom Hanks","32","16"
"John Hurt","32","16"
"Christopher Plummer","32","16"
"Harrison Ford","32","16"
"Donald Sutherland","31","17"
"Luis Guzmu00e1n","31","17"
"Julianne Moore","31","17"
"Cameron Diaz","31","17"
"Denzel Washington","31","17"
"Woody Harrelson","31","17"
"Philip Seymour Hoffman","31","17"
"Cate Blanchett","31","17"
"Mark Wahlberg","31","17"
"Antonio Banderas","31","17"
"Robert Duvall","30","18"
"Stephen Root","30","18"
"Tom Wilkinson","30","18"
"John Turturro","30","18"
"James Franco","30","18"
"John Leguizamo","30","18"
"Octavia Spencer","30","18"
"Forest Whitaker","30","18"
"Meryl Streep","30","18"
"Catherine Keener","30","18"
"Nicole Kidman","30","18"
"Judi Dench","30","18"
"Luke Wilson","30","18"
"John Travolta","30","18"
"Ewan McGregor","29","19"
"Danny DeVito","29","19"
"Dustin Hoffman","29","19"
"Allison Janney","29","19"
"Ed Harris","29","19"
"Kristen Wiig","29","19"
"Pierce Brosnan","29","19"
"Seth Rogen","29","19"
"John Cusack","29","19"
"Matthew McConaughey","29","19"
"Michael Caine","29","19"
"Danny Glover","29","19"
"Mark Ruffalo","29","19"
"Brendan Gleeson","29","19"
"Terrence Howard","29","19"
"Robert Downey Jr.","29","19"
"Ben Affleck","29","19"
"Jason Statham","29","19"
"Jonah Hill","29","19"
"Gary Oldman","28","20"
"Scarlett Johansson","28","20"
"Drew Barrymore","28","20"
"Queen Latifah","28","20"
"Bill Nighy","28","20"
"Judy Greer","28","20"
"James Marsden","28","20"
"Steve Zahn","28","20"
"Adam Sandler","28","20"
"Sean Connery","28","20"
"Whoopi Goldberg","28","20"
"Dan Aykroyd","28","20"
"Eddie Murphy","28","20"
"Jason Bateman","28","20"
"Channing Tatum","28","20"
"Keanu Reeves","27","21"
"Eugene Levy","27","21"
"Val Kilmer","27","21"
"Sandra Bullock","27","21"
"Ralph Fiennes","27","21"
"Robert Patrick","27","21"
"Christian Bale","27","21"
"Hugh Jackman","27","21"
"Elizabeth Banks","27","21"
"Kirsten Dunst","27","21"
"Peter Stormare","27","21"
"Stan Lee","27","21"
"Kevin Costner","27","21"
"Jude Law","27","21"
"Anthony Mackie","27","21"
"Danny Trejo","27","21"
"Gerard Butler","27","21"
"John Malkovich","27","21"
"Liev Schreiber","26","22"
"Elias Koteas","26","22"
"Ray Liotta","26","22"
"Chris Rock","26","22"
"Richard Schiff","26","22"
"Kevin Bacon","26","22"
"Marisa Tomei","26","22"
"Philip Baker Hall","26","22"
"Toby Jones","26","22"
"Viola Davis","26","22"
"Jim Carrey","26","22"
"Bruce Greenwood","26","22"
"Vince Vaughn","26","22"
"Geoffrey Rush","26","22"
"Cuba Gooding Jr.","26","22"
"Charlize Theron","26","22"
"Alfred Molina","25","23"
"Patricia Clarkson","25","23"
"Will Smith","25","23"
"Jane Lynch","25","23"
"Anne Hathaway","25","23"
"Dennis Quaid","25","23"
"Oliver Platt","25","23"
"Dwayne Johnson","25","23"
"Wallace Shawn","25","23"
"Jason Lee","25","23"
"Salma Hayek","25","23"
"Billy Bob Thornton","25","23"
"Michael Peu00f1a","25","23"
"Jeffrey Wright","25","23"
"Angelina Jolie","25","23"
"Bill Paxton","25","23"
"Gene Hackman","25","23"
"Kate Winslet","25","23"
"Michael Clarke Duncan","25","23"
"Jamie Foxx","25","23"
"Sean Bean","24","24"
"James Woods","24","24"
"Bruce McGill","24","24"
"Colin Farrell","24","24"
"Gwyneth Paltrow","24","24"
"Dylan Baker","24","24"
"Stellan Skarsgu00e5rd","24","24"
"Kevin Spacey","24","24"
"Alan Tudyk","24","24"
"Jennifer Coolidge","24","24"
"Jeff Bridges","24","24"
"Alan Arkin","24","24"
"Mel Gibson","24","24"
"Giovanni Ribisi","24","24"
"Benicio del Toro","24","24"
"Ryan Reynolds","24","24"
"Paul Bettany","24","24"
"William Fichtner","24","24"
"Tommy Lee Jones","24","24"
"Kathy Bates","24","24"
"Greg Kinnear","24","24"
"Chris Cooper","24","24"
"Russell Crowe","24","24"
"Jon Voight","24","24"
"Josh Brolin","24","24"
"Anthony Anderson","24","24"
"Jason Flemyng","24","24"
"Bob Hoskins","24","24"
"Edward Norton","24","24"
"Amy Adams","24","24"
"Ciaru00e1n Hinds","24","24"
"Don Cheadle","24","24"
"Ron Perlman","24","24"
"Martin Sheen","23","25"
"Naomi Watts","23","25"
"Ice Cube","23","25"
"Elijah Wood","23","25"
"James Cromwell","23","25"
"Joan Cusack","23","25"
"James Remar","23","25"
"Carla Gugino","23","25"
"Steve Carell","23","25"
"Natalie Portman","23","25"
"Jeremy Piven","23","25"
"Ving Rhames","23","25"
"Kevin Hart","23","25"
"Rosario Dawson","23","25"
"Dermot Mulroney","23","25"
"Helena Bonham Carter","23","25"
"Mickey Rourke","23","25"
"Michael Sheen","23","25"
"Viggo Mortensen","23","25"
"Cloris Leachman","23","25"
"Nick Nolte","23","25"
"Kevin Pollak","23","25"
"Al Pacino","23","25"
"Patrick Stewart","23","25"
"Thomas Haden Church","22","26"
"Sean Penn","22","26"
"Terry Crews","22","26"
"Tony Shalhoub","22","26"
"Sam Shepard","22","26"
"Jennifer Lopez","22","26"
"Michael Gambon","22","26"
"Famke Janssen","22","26"
"Cedric the Entertainer","22","26"
"Clifton Collins Jr","22","26"
"John Cleese","22","26"
"David Cross","22","26"
"Ray Winstone","22","26"
"Winona Ryder","22","26"
"Rose Byrne","22","26"
"John Ratzenberger","22","26"
"Leonardo DiCaprio","22","26"
"Jeff Daniels","22","26"
"Eva Mendes","22","26"
"Ian Holm","22","26"
"Tim Blake Nelson","22","26"
"Christian Slater","22","26"
"Reese Witherspoon","22","26"
"Casey Affleck","22","26"
"Jon Favreau","22","26"
"Richard Riehle","22","26"
"Harry Dean Stanton","22","26"
"Jason Isaacs","22","26"
"Celia Weston","22","26"
"Seth Green","22","26"
"Ken Jeong","22","26"
"Anna Faris","22","26"
"Beth Grant","22","26"
"Sam Rockwell","22","26"
"Idris Elba","21","27"
"Jennifer Aniston","21","27"
"Peter Sarsgaard","21","27"
"David Morse","21","27"
"Charles Dance","21","27"
"Charlie Sheen","21","27"
"Bradley Cooper","21","27"
"John C. McGinley","21","27"
"Harvey Keitel","21","27"
"John Cho","21","27"
"Dan Hedaya","21","27"
"John Michael Higgins","21","27"
"Colin Firth","21","27"
"Emily Mortimer","21","27"
"David Thewlis","21","27"
"Amanda Peet","21","27"
"Jake Gyllenhaal","21","27"
"Aaron Eckhart","21","27"
"Jena Malone","21","27"
"Bruce Campbell","21","27"
"Hank Azaria","21","27"
"Leslie Mann","21","27"
"Toni Collette","21","27"
"Emma Thompson","21","27"
"Clark Gregg","21","27"
"Hugo Weaving","21","27"
"Bob Balaban","21","27"
"Terence Stamp","21","27"
"Jeffrey Tambor","21","27"
"Helen Mirren","21","27"
"Vincent D'Onofrio","21","27"
"Morris Chestnut","21","27"
"Ethan Hawke","21","27"
"Maria Bello","21","27"
"Thomas Lennon","21","27"
"Jon Lovitz","20","28"
"David Paymer","20","28"
"Seann William Scott","20","28"
"Mark Strong","20","28"
"Simon Pegg","20","28"
"Alan Rickman","20","28"
"Cary Elwes","20","28"
"Cheech Marin","20","28"
"Maggie Gyllenhaal","20","28"
"Miriam Margolyes","20","28"
"Dennis Hopper","20","28"
"Jada Pinkett Smith","20","28"
"Andy Serkis","20","28"
"Daniel Craig","20","28"
"Diane Keaton","20","28"
"Larry Miller","20","28"
"James Caan","20","28"
"Jackie Chan","20","28"
"Christopher Lloyd","20","28"
"Timothy Spall","20","28"
"Jessica Alba","20","28"
"Danny Huston","20","28"
"Jeff Goldblum","20","28"
"Chlou00eb Grace Moretz","20","28"
"Richard Gere","20","28"
"Kate Bosworth","20","28"
"Angela Bassett","20","28"
"Zoe Saldana","20","28"
"Laura Linney","20","28"
"Rob Schneider","20","28"
"Bill Pullman","20","28"
"M.C. Gainey","20","28"
"Zooey Deschanel","20","28"
"Ian McKellen","20","28"
"Molly Shannon","20","28"
"Patrick Wilson","20","28"
"Hugh Grant","20","28"
"Steve Martin","20","28"
"Kevin Kline","20","28"
"Giancarlo Esposito","20","28"
"Andy Garcu00eda","19","29"
"Adam Scott","19","29"
"Patrick Warburton","19","29"
"Julia Stiles","19","29"
"John Carroll Lynch","19","29"
"Abigail Breslin","19","29"
"Ashley Judd","19","29"
"Christina Applegate","19","29"
"Christina Ricci","19","29"
"Michelle Pfeiffer","19","29"
"Matt Walsh","19","29"
"Brendan Fraser","19","29"
"Mark Boone Junior","19","29"
"Jonathan Pryce","19","29"
"Rob Corddry","19","29"
"Kris Kristofferson","19","29"
"Gabrielle Union","19","29"
"Michael Keaton","19","29"
"Christopher Lee","19","29"
"Robbie Coltrane","19","29"
"Milla Jovovich","19","29"
"Penu00e9lope Cruz","19","29"
"William Hurt","19","29"
"Kiefer Sutherland","19","29"
"James Earl Jones","19","29"
"Joseph Gordon-Levitt","19","29"
"Delroy Lindo","19","29"
"Catherine Zeta-Jones","19","29"
"Keira Knightley","19","29"
"Zach Galifianakis","19","29"
"Jim Cummings","19","29"
"Kathryn Hahn","19","29"
"John Krasinski","19","29"
"Gabriel Byrne","19","29"
"Melissa Leo","19","29"
"Kurt Russell","19","29"
"Kristen Stewart","19","29"
"Anton Yelchin","19","29"
"Matthew Broderick","19","29"
"Maya Rudolph","19","29"
"Vin Diesel","19","29"
"John Heard","19","29"
"Will Arnett","19","29"
