"actor_name","cumulative_revenue"
"Stan Lee","17364063582"
"Samuel L. Jackson","14806065788"
"Frank Welker","11614837160"
"John Ratzenberger","11038044745"
"Hugo Weaving","10822190781"
"Cate Blanchett","9726416776"
"Ian McKellen","9710670395"
"Jess Harnell","9633458775"
"Morgan Freeman","9275477679"
"Tom Cruise","8993387534"
"Christopher Lee","8985189730"
"Tom Hanks","8880321218"
"Paul Bettany","8781886704"
"Liam Neeson","8764367804"
"Gary Oldman","8681304417"
"Johnny Depp","8639260386"
"Stellan Skarsgu00e5rd","8598207532"
"Orlando Bloom","8578987601"
"Robert Downey Jr.","8433617006"
"Alan Rickman","8141974689"
"Scarlett Johansson","7976087808"
"Will Smith","7947038192"
"Andy Serkis","7810516395"
"Warwick Davis","7754628081"
"Geoffrey Rush","7714179706"
"Matt Damon","7593266352"
"Elizabeth Banks","7542411130"
"Alan Tudyk","7540428238"
"Stanley Tucci","7458045998"
"Bruce Willis","7348447791"
"Robbie Coltrane","7317118848"
"Cameron Diaz","7290189283"
"Bill Hader","7265940543"
"Jeremy Renner","7095758902"
"Judi Dench","7069656653"
"Don Cheadle","6939585743"
"Danny Mann","6796906848"
"Brad Pitt","6745783576"
"Harrison Ford","6735114087"
"Helena Bonham Carter","6732766816"
"Ben Stiller","6729240875"
"Chris Evans","6603708056"
"Timothy Spall","6565048602"
"Sean Bean","6473953009"
"Michael Caine","6455514822"
"Leonardo DiCaprio","6388363002"
"Maggie Smith","6370931411"
"Owen Wilson","6333944491"
"Anne Hathaway","6315749247"
"Ralph Fiennes","6301008061"
"Zoe Saldana","6270333110"
"Ava Acres","6236371843"
"Conrad Vernon","6235170692"
"Hugh Jackman","6231614099"
"Michael Papajohn","6190642543"
"Michelle Rodriguez","6173045107"
"John Cleese","6137698083"
"Julie Walters","6132560405"
"Willem Dafoe","6093524879"
"Mickie McGowan","6091712934"
"Daniel Radcliffe","6076725183"
"Mark Ruffalo","6068055683"
"Frank Oz","6061702290"
"Chris Hemsworth","6057845704"
"Tom Felton","6039648458"
"Emma Watson","6036746294"
"David Bradley","6021239388"
"Marton Csokas","6021186886"
"Simon Pegg","6007594377"
"Kristen Wiig","5941885691"
"Jon Favreau","5895593782"
"Brendan Gleeson","5882403452"
"John Goodman","5873971176"
"Ian Holm","5840985763"
"Gwyneth Paltrow","5836224811"
"Toby Jones","5792839080"
"Jack Black","5755724347"
"Eddie Murphy","5746369845"
"Laraine Newman","5715037868"
"J.K. Simmons","5702651023"
"Patrick Stewart","5698107456"
"Steve Buscemi","5692238445"
"Angelina Jolie","5689373477"
"Arnold Schwarzenegger","5681137865"
"Dwayne Johnson","5653653631"
"Elijah Wood","5649260590"
"Matthew Lewis","5619006632"
"Anthony Mackie","5603515921"
"Woody Harrelson","5593999150"
"Chris Miller","5569725794"
"Ken Jeong","5554084253"
"Sigourney Weaver","5537955428"
"Geraldine Somerville","5533873297"
"Antonio Banderas","5523280925"
"Richard Griffiths","5498547102"
"Seth Rogen","5478085076"
"Idris Elba","5467278772"
"Tyrese Gibson","5454783882"
"Terry Notary","5443997783"
"Rupert Grint","5414514600"
"Devon Murray","5411061570"
"Jamie Waylett","5411061557"
"Josh Herdman","5411061557"
"James Phelps","5411061557"
"Bonnie Wright","5411061557"
"Oliver Phelps","5411061557"
"Alfie Enoch","5411061557"
"Steve Carell","5386565303"
"Robin Williams","5371183191"
"Steve Coogan","5367246318"
"Mona Marshall","5365156102"
"Fred Tatasciore","5327511790"
"Jonah Hill","5240085048"
"James Franco","5230326116"
"Greg Ellis","5229951506"
"Giovanni Ribisi","5228675706"
"Jennifer Lawrence","5210260703"
"Julene Renee","5173603639"
"Bonnie Hunt","5160005070"
"Laurence Fishburne","5138258381"
"Ben Kingsley","5113153076"
"Jan Rabson","5098417652"
"Jason Isaacs","5044055077"
"Paul Giamatti","5026412669"
"Ben Affleck","5015778178"
"Vin Diesel","5004954560"
"Mark Wahlberg","4980099461"
"James Earl Jones","4976025430"
"Donald Sutherland","4948138510"
"Daniel Craig","4926198315"
"Bill Paxton","4911059565"
"Shia LaBeouf","4908936576"
"Pat Kiernan","4907751736"
"Denis Leary","4901397049"
"Lee Pace","4898058609"
"Dustin Hoffman","4897137824"
"Michael Gambon","4891420377"
"Keira Knightley","4888463708"
"Robert De Niro","4882904059"
"Jim Cummings","4861904776"
"Sherry Lynn","4859246983"
"George Clooney","4855774248"
"Glenn Morshower","4834381647"
"Jim Broadbent","4810430501"
"Thomas Kretschmann","4803361536"
"Thomas Lennon","4788783339"
"Christopher Knights","4787827335"
"Philip Seymour Hoffman","4786287497"
"Anthony Daniels","4779374585"
"Djimon Hounsou","4774536029"
"David Cross","4755127962"
"Bill Nighy","4753977370"
"Natalie Portman","4753450480"
"Julia Roberts","4748879836"
"Kevin McNally","4748302571"
"Martin Freeman","4747178366"
"Benedict Cumberbatch","4745668161"
"Christian Bale","4740760647"
"Alec Baldwin","4710673259"
"Kathy Bates","4709353312"
"Bernard Hill","4707413828"
"Bob Peterson","4680222276"
"Michael Sheen","4660647524"
"Judy Greer","4644184164"
"Jed Brophy","4636767071"
"John Leguizamo","4609962086"
"Mark Williams","4575780861"
"Luke Evans","4568417280"
"Jeffrey Wright","4568130666"
"Emma Thompson","4556129163"
"Josh Brolin","4553507513"
"Tommy Lee Jones","4553445440"
"Will Arnett","4545005714"
"Ewan McGregor","4540588921"
"Michael Keaton","4539342897"
"Carla Gugino","4531069378"
